日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2019/8/15,'000021,深科技,8.14,8.21,7.72,7.74,7.91,0.23,2.9077,1.9187,28229097,226735839.4,11976051215,11976051215,22555
2019/8/14,'000021,深科技,7.91,8.02,7.81,7.86,7.71,0.2,2.594,1.5686,23078612,183143663,11637661561,11637661561,19021
2019/8/13,'000021,深科技,7.71,7.73,7.56,7.58,7.66,0.05,0.6527,0.5847,8602800,65918405.98,11343409689,11343409689,9860
2019/8/12,'000021,深科技,7.66,7.67,7.4,7.41,7.39,0.27,3.6536,0.6257,9206138,69442362.44,11269846721,11269846721,6201
2019/8/9,'000021,深科技,7.39,7.63,7.37,7.6,7.55,-0.16,-2.1192,0.6037,8881477,66509724.37,10872606693,10872606693,6679
2019/8/8,'000021,深科技,7.55,7.61,7.5,7.58,7.55,0,0,0.5779,8501988,64191707.71,11108008191,11108008191,6952
2019/8/7,'000021,深科技,7.55,7.75,7.54,7.71,7.67,-0.12,-1.5645,0.628,9238801,70606488.12,11108008191,11108008191,7384
2019/8/6,'000021,深科技,7.67,7.8,7.38,7.8,7.93,-0.26,-3.2787,1.0782,15863578,121265393.8,11284559314,11284559314,12918
2019/8/5,'000021,深科技,7.93,8.12,7.84,7.86,7.9,0.03,0.3797,0.834,12270017,98113203.33,11667086749,11667086749,9692
2019/8/2,'000021,深科技,7.9,7.95,7.81,7.9,8.08,-0.18,-2.2277,0.8465,12454915,98123945.94,11622948968,11622948968,8526
2019/8/1,'000021,深科技,8.08,8.23,8.03,8.1,8.16,-0.08,-0.9804,0.7962,11713714,94947853.95,11887775653,11887775653,8788
2019/7/31,'000021,深科技,8.16,8.2,8.04,8.09,8.08,0.08,0.9901,1.2199,17947871,146247877.5,12005476402,12005476402,12538
2019/7/30,'000021,深科技,8.08,8.1,7.94,8.02,8.02,0.06,0.7481,0.8772,12905915,103875653.8,11887775653,11887775653,7814
2019/7/29,'000021,深科技,8.02,8.07,7.91,8,7.97,0.05,0.6274,0.591,8695535,69470914.02,11799500091,11799500091,6310
2019/7/26,'000021,深科技,7.97,8.08,7.92,8.01,8.07,-0.1,-1.2392,0.5892,8668500,69145549.08,11725937123,11725937123,6251
2019/7/25,'000021,深科技,8.07,8.13,7.88,7.94,7.94,0.13,1.6373,1.0476,15412472,123927911,11873063059,11873063059,10923
2019/7/24,'000021,深科技,7.94,8.03,7.85,7.9,7.81,0.13,1.6645,0.7632,11229070,89372577.49,11681799342,11681799342,10184
2019/7/23,'000021,深科技,7.81,7.83,7.7,7.74,7.74,0.07,0.9044,0.3834,5641200,43941449,11490535625,11490535625,6153
2019/7/22,'000021,深科技,7.74,8.02,7.66,7.95,7.97,-0.23,-2.8858,0.705,10372856,80713532.6,11387547470,11387547470,11207
2019/7/19,'000021,深科技,7.97,8.13,7.94,7.99,7.91,0.06,0.7585,0.7491,11021270,88437149.79,11725937123,11725937123,9306
